Designator,Mid X,Mid Y,Rotation,Layer
D1,140.52,-78.1,0.0,top
D2,155.25,-78.2,0.0,top
J1,129.4,-83.4,270.0,top
J2,129.4,-98.9,270.0,top
J3,140.825,-103.3,0.0,top
J4,156.525,-103.4,0.0,top
J5,168.7,-97.475,90.0,top
J6,168.75,-86.975,90.0,top
K1,140.56,-89.12,0.0,top
K2,156.01,-89.22,0.0,top
